date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:08	27853/27853	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:08%20GMT	https://www.asb.com/usa-patriot-act	C:/My%20Web%20Sites/asb/www.asb.com/usa-patriot-act.html	(from https://www.asb.com/)
14:48:08	27876/27876	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:08%20GMT	https://www.asb.com/privacy-policy	C:/My%20Web%20Sites/asb/www.asb.com/privacy-policy.html	(from https://www.asb.com/)
14:48:08	20059/20059	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:08%20GMT	https://www.asb.com/childrens-online-privacy-policy-protection-act	C:/My%20Web%20Sites/asb/www.asb.com/childrens-online-privacy-policy-protection-act.html	(from https://www.asb.com/)
14:48:08	22076/22076	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:09%20GMT	https://www.asb.com/consumer-complaint-notice	C:/My%20Web%20Sites/asb/www.asb.com/consumer-complaint-notice.html	(from https://www.asb.com/)
14:48:09	22613/22613	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:09%20GMT	https://www.asb.com/terms-and-conditions	C:/My%20Web%20Sites/asb/www.asb.com/terms-and-conditions.html	(from https://www.asb.com/)
14:48:09	22551/22551	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2019:48:09%20GMT	https://www.asb.com/sitemap	C:/My%20Web%20Sites/asb/www.asb.com/sitemap.html	(from https://www.asb.com/)
14:48:09	10514/10514	---M--	200	added ('OK')	application/javascript	etag:%2260940185e44c16f0%22	https://banno.com/a/monitor/api/badge/badge.min.js	C:/My%20Web%20Sites/asb/banno.com/a/monitor/api/badge/badge.min.js	(from https://www.asb.com/)
14:48:10	89609/89609	---M-Z	200	added ('OK')	application/javascript	etag:%2218e656c3babbd43161c6ff4a5b94a03a%22	https://www.asb.com/assets/js/jquery.min.js	C:/My%20Web%20Sites/asb/www.asb.com/assets/js/jquery.min.js	(from https://www.asb.com/)
14:48:10	176700/176700	---M-Z	200	added ('OK')	application/javascript	etag:%22727f4778dcddfa8b0cda4a61c3b4b284%22	https://www.asb.com/assets/js/script.min.js?v=1675105840732	C:/My%20Web%20Sites/asb/www.asb.com/assets/js/script.min7a76.js	(from https://www.asb.com/)
14:48:10	3249/3249	---M-Z	200	added ('OK')	application/javascript	etag:%2274b4d9bd172d3f525d15cef8d9b5e5fd%22	https://www.asb.com/assets/target/disclaimers.js?bh=e1a112	C:/My%20Web%20Sites/asb/www.asb.com/assets/target/disclaimers22e5.js	(from https://www.asb.com/)
